time,tas,pr,evspsblpot,name
2006-01-16 12:00:00,275.6859,2.5844272e-05,2.82230145527143e-06,work_kd0956_CORDEX_data_cordex_output_EUR-11_GERICS_ICHEC-EC-EARTH_rcp26_r12i1p1_GERICS-REMO2015_v1_mon_evspsblpot_v20180710
2006-02-15 00:00:00,273.60162,2.9558389e-05,6.9742113313308585e-06,work_kd0956_CORDEX_data_cordex_output_EUR-11_GERICS_ICHEC-EC-EARTH_rcp26_r12i1p1_GERICS-REMO2015_v1_mon_evspsblpot_v20180710
2006-03-16 12:00:00,277.473,1.9185229e-05,1.4444567531205436e-05,work_kd0956_CORDEX_data_cordex_output_EUR-11_GERICS_ICHEC-EC-EARTH_rcp26_r12i1p1_GERICS-REMO2015_v1_mon_evspsblpot_v20180710
2006-04-16 00:00:00,283.46606,1.984738e-05,2.55844480697223e-05,work_kd0956_CORDEX_data_cordex_output_EUR-11_GERICS_ICHEC-EC-EARTH_rcp26_r12i1p1_GERICS-REMO2015_v1_mon_evspsblpot_v20180710
2006-05-16 12:00:00,286.75473,1.906715e-05,3.6950415542144934e-05,work_kd0956_CORDEX_data_cordex_output_EUR-11_GERICS_ICHEC-EC-EARTH_rcp26_r12i1p1_GERICS-REMO2015_v1_mon_evspsblpot_v20180710
2006-06-16 00:00:00,288.55472,1.6160784e-05,4.5533764537655873e-05,work_kd0956_CORDEX_data_cordex_output_EUR-11_GERICS_ICHEC-EC-EARTH_rcp26_r12i1p1_GERICS-REMO2015_v1_mon_evspsblpot_v20180710
2006-07-16 12:00:00,291.88416,3.137301e-05,4.685296531749068e-05,work_kd0956_CORDEX_data_cordex_output_EUR-11_GERICS_ICHEC-EC-EARTH_rcp26_r12i1p1_GERICS-REMO2015_v1_mon_evspsblpot_v20180710
2006-08-16 12:00:00,291.18295,3.0023668e-05,3.7168641756225615e-05,work_kd0956_CORDEX_data_cordex_output_EUR-11_GERICS_ICHEC-EC-EARTH_rcp26_r12i1p1_GERICS-REMO2015_v1_mon_evspsblpot_v20180710
2006-09-16 00:00:00,286.4046,2.605308e-05,2.2304209903297155e-05,work_kd0956_CORDEX_data_cordex_output_EUR-11_GERICS_ICHEC-EC-EARTH_rcp26_r12i1p1_GERICS-REMO2015_v1_mon_evspsblpot_v20180710
2006-10-16 12:00:00,281.66696,2.853528e-05,8.94835059873488e-06,work_kd0956_CORDEX_data_cordex_output_EUR-11_GERICS_ICHEC-EC-EARTH_rcp26_r12i1p1_GERICS-REMO2015_v1_mon_evspsblpot_v20180710
2006-11-16 00:00:00,275.46277,1.5050997e-05,4.251969008212095e-06,work_kd0956_CORDEX_data_cordex_output_EUR-11_GERICS_ICHEC-EC-EARTH_rcp26_r12i1p1_GERICS-REMO2015_v1_mon_evspsblpot_v20180710
2006-12-16 12:00:00,272.27094,2.4898774e-05,2.5016673385515146e-06,work_kd0956_CORDEX_data_cordex_output_EUR-11_GERICS_ICHEC-EC-EARTH_rcp26_r12i1p1_GERICS-REMO2015_v1_mon_evspsblpot_v20180710
2007-01-16 12:00:00,274.92233,1.4766515e-05,2.7356739880463518e-06,work_kd0956_CORDEX_data_cordex_output_EUR-11_GERICS_ICHEC-EC-EARTH_rcp26_r12i1p1_GERICS-REMO2015_v1_mon_evspsblpot_v20180710
2007-02-15 00:00:00,274.587,1.095169e-05,5.690529296709457e-06,work_kd0956_CORDEX_data_cordex_output_EUR-11_GERICS_ICHEC-EC-EARTH_rcp26_r12i1p1_GERICS-REMO2015_v1_mon_evspsblpot_v20180710
2007-03-16 12:00:00,277.35632,2.4245017e-05,1.2252606753759861e-05,work_kd0956_CORDEX_data_cordex_output_EUR-11_GERICS_ICHEC-EC-EARTH_rcp26_r12i1p1_GERICS-REMO2015_v1_mon_evspsblpot_v20180710
2007-04-16 00:00:00,283.70898,1.3401755e-05,2.4133054810295846e-05,work_kd0956_CORDEX_data_cordex_output_EUR-11_GERICS_ICHEC-EC-EARTH_rcp26_r12i1p1_GERICS-REMO2015_v1_mon_evspsblpot_v20180710
2007-05-16 12:00:00,288.47742,3.1028158e-05,3.77933268957836e-05,work_kd0956_CORDEX_data_cordex_output_EUR-11_GERICS_ICHEC-EC-EARTH_rcp26_r12i1p1_GERICS-REMO2015_v1_mon_evspsblpot_v20180710
2007-06-16 00:00:00,291.96112,2.5698428e-05,4.391652473950775e-05,work_kd0956_CORDEX_data_cordex_output_EUR-11_GERICS_ICHEC-EC-EARTH_rcp26_r12i1p1_GERICS-REMO2015_v1_mon_evspsblpot_v20180710
2007-07-16 12:00:00,290.27545,5.9276048e-05,4.177985146837667e-05,work_kd0956_CORDEX_data_cordex_output_EUR-11_GERICS_ICHEC-EC-EARTH_rcp26_r12i1p1_GERICS-REMO2015_v1_mon_evspsblpot_v20180710
2007-08-16 12:00:00,289.73776,1.5262498e-05,3.542453670514037e-05,work_kd0956_CORDEX_data_cordex_output_EUR-11_GERICS_ICHEC-EC-EARTH_rcp26_r12i1p1_GERICS-REMO2015_v1_mon_evspsblpot_v20180710
2007-09-16 00:00:00,288.5056,1.6444654e-05,1.9319100175090217e-05,work_kd0956_CORDEX_data_cordex_output_EUR-11_GERICS_ICHEC-EC-EARTH_rcp26_r12i1p1_GERICS-REMO2015_v1_mon_evspsblpot_v20180710
2007-10-16 12:00:00,282.24628,3.1006246e-05,1.0914508744103459e-05,work_kd0956_CORDEX_data_cordex_output_EUR-11_GERICS_ICHEC-EC-EARTH_rcp26_r12i1p1_GERICS-REMO2015_v1_mon_evspsblpot_v20180710
2007-11-16 00:00:00,279.22028,3.616514e-05,4.362885389801682e-06,work_kd0956_CORDEX_data_cordex_output_EUR-11_GERICS_ICHEC-EC-EARTH_rcp26_r12i1p1_GERICS-REMO2015_v1_mon_evspsblpot_v20180710
2007-12-16 12:00:00,273.89273,1.7337503e-05,2.354560992851162e-06,work_kd0956_CORDEX_data_cordex_output_EUR-11_GERICS_ICHEC-EC-EARTH_rcp26_r12i1p1_GERICS-REMO2015_v1_mon_evspsblpot_v20180710
2008-01-16 12:00:00,267.7398,7.722388e-06,2.010549563549746e-06,work_kd0956_CORDEX_data_cordex_output_EUR-11_GERICS_ICHEC-EC-EARTH_rcp26_r12i1p1_GERICS-REMO2015_v1_mon_evspsblpot_v20180710
2008-02-15 12:00:00,276.0318,1.3312322e-05,3.1323490294957137e-06,work_kd0956_CORDEX_data_cordex_output_EUR-11_GERICS_ICHEC-EC-EARTH_rcp26_r12i1p1_GERICS-REMO2015_v1_mon_evspsblpot_v20180710
2008-03-16 12:00:00,277.92017,9.439332e-06,1.5166946305601657e-05,work_kd0956_CORDEX_data_cordex_output_EUR-11_GERICS_ICHEC-EC-EARTH_rcp26_r12i1p1_GERICS-REMO2015_v1_mon_evspsblpot_v20180710
2008-04-16 00:00:00,281.51062,2.3443596e-05,2.816774169163123e-05,work_kd0956_CORDEX_data_cordex_output_EUR-11_GERICS_ICHEC-EC-EARTH_rcp26_r12i1p1_GERICS-REMO2015_v1_mon_evspsblpot_v20180710
